,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast,Home_ELO,Visitor_ELO
1028,2008-03-22 19:00:00,Miami Heat,82,Charlotte Bobcats,94,Sat,7,12,1,24,44,18,17,-5,-353,-5.1911764705882355,6507,95.69117647058823,68,0,12,55,6,27,-2,-563,-8.402985074626866,6219,92.82089552238806,67,0,1353,1245
1029,2008-03-22 19:30:00,Indiana Pacers,108,Chicago Bulls,101,Sat,7,-7,0,27,41,16,17,-1,-182,-2.676470588235294,6568,96.58823529411765,68,0,27,41,11,23,3,-156,-2.2941176470588234,7033,103.42647058823529,68,0,1422,1407
1030,2008-03-22 19:30:00,Portland Trail Blazers,83,Los Angeles Clippers,72,Sat,7,-11,0,21,47,12,23,-6,-437,-6.426470588235294,6406,94.20588235294117,68,0,36,33,12,23,1,-53,-0.7681159420289855,6619,95.92753623188406,69,0,1306,1443
1031,2008-03-22 19:00:00,Sacramento Kings,111,Memphis Grizzlies,117,Sat,7,6,1,17,51,12,22,1,-421,-6.1911764705882355,6773,99.6029411764706,68,0,31,37,10,25,-1,-159,-2.338235294117647,6915,101.69117647058823,68,0,1317,1423
1032,2008-03-22 19:30:00,Cleveland Cavaliers,98,Milwaukee Bucks,108,Sat,7,10,1,23,44,17,17,-6,-449,-6.701492537313433,6438,96.08955223880596,67,0,40,30,16,20,2,-8,-0.11428571428571428,6794,97.05714285714286,70,0,1308,1508
1033,2008-03-22 19:00:00,New York Knicks,93,Minnesota Timberwolves,114,Sat,7,21,1,17,51,12,23,-1,-469,-6.897058823529412,6428,94.52941176470588,68,0,19,49,7,26,-3,-461,-6.779411764705882,6491,95.45588235294117,68,0,1338,1300
1034,2008-03-22 19:00:00,Boston Celtics,106,New Orleans Hornets,113,Sat,7,7,1,46,21,26,10,2,356,5.313432835820896,6708,100.11940298507463,67,0,55,13,26,8,4,703,10.338235294117647,6826,100.38235294117646,68,0,1608,1684
1035,2008-03-22 19:00:00,New Jersey Nets,87,Philadelphia 76ers,91,Sat,7,4,1,34,35,19,15,-1,38,0.5507246376811594,6664,96.57971014492753,69,0,29,40,11,22,-1,-357,-5.173913043478261,6551,94.94202898550725,69,0,1509,1371
1036,2008-03-22 19:00:00,Houston Rockets,113,Phoenix Suns,122,Sat,7,9,1,46,22,25,10,6,344,5.0588235294117645,7483,110.04411764705883,68,0,47,22,21,12,1,322,4.666666666666667,6661,96.53623188405797,69,0,1573,1628
1037,2008-03-22 19:00:00,Seattle SuperSonics,101,Utah Jazz,115,Sat,7,14,1,45,25,29,4,-1,415,5.928571428571429,7427,106.1,70,0,16,53,6,30,-10,-618,-8.956521739130435,6739,97.66666666666667,69,0,1598,1263
1038,2008-03-23 12:00:00,San Antonio Spurs,88,Dallas Mavericks,81,Sun,1,-7,0,44,25,29,6,-2,329,4.768115942028985,6917,100.2463768115942,69,0,46,23,18,17,2,311,4.507246376811594,6599,95.6376811594203,69,0,1557,1560
1039,2008-03-23 18:30:00,Golden State Warriors,115,Los Angeles Lakers,111,Sun,1,-4,0,48,21,24,8,3,500,7.246376811594203,7462,108.14492753623189,69,0,42,26,19,15,-1,198,2.911764705882353,7539,110.86764705882354,68,0,1632,1538
1040,2008-03-23 15:30:00,Denver Nuggets,109,Toronto Raptors,100,Sun,1,-9,0,35,34,20,13,-1,211,3.0579710144927534,6902,100.02898550724638,69,0,41,28,13,21,1,251,3.63768115942029,7544,109.33333333333333,69,0,1461,1543
1041,2008-03-23 20:00:00,Detroit Pistons,83,Washington Wizards,95,Sun,1,12,1,35,33,20,15,2,4,0.058823529411764705,6693,98.42647058823529,68,0,49,19,22,13,-1,505,7.426470588235294,6676,98.17647058823529,68,0,1466,1609
1042,2008-03-24 19:30:00,Philadelphia 76ers,95,Boston Celtics,90,Mon,2,-5,0,55,14,29,5,-1,696,10.08695652173913,6932,100.46376811594203,69,0,35,35,15,20,1,42,0.6,6755,96.5,70,0,1673,1512
1043,2008-03-24 19:30:00,Phoenix Suns,105,Detroit Pistons,110,Mon,2,5,1,49,20,27,6,-2,493,7.144927536231884,6759,97.95652173913044,69,0,47,22,21,12,7,353,5.115942028985507,7605,110.21739130434783,69,0,1590,1584
1044,2008-03-24 19:30:00,Los Angeles Lakers,123,Golden State Warriors,119,Mon,2,-4,0,43,26,23,11,1,202,2.927536231884058,7654,110.92753623188406,69,0,48,22,24,13,-1,496,7.085714285714285,7573,108.18571428571428,70,0,1546,1623
1045,2008-03-24 19:30:00,Sacramento Kings,100,Houston Rockets,108,Mon,2,8,1,47,23,26,10,-1,313,4.4714285714285715,6774,96.77142857142857,70,0,31,38,10,26,-2,-165,-2.391304347826087,7026,101.82608695652173,69,0,1616,1412
1046,2008-03-24 19:00:00,Denver Nuggets,120,Memphis Grizzlies,106,Mon,2,-14,0,18,51,13,22,2,-415,-6.0144927536231885,6890,99.85507246376811,69,0,42,28,14,21,2,260,3.7142857142857144,7653,109.32857142857142,70,0,1327,1550
1047,2008-03-24 19:30:00,Milwaukee Bucks,73,Miami Heat,78,Mon,2,5,1,12,56,6,28,-3,-575,-8.455882352941176,6301,92.66176470588235,68,0,24,44,6,27,1,-439,-6.455882352941177,6546,96.26470588235294,68,0,1237,1326
