,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
731,2014-02-05 19:00:00,Boston Celtics,114,Philadelphia 76ers,108,Wed,4,-6,0,1311.1831091228844,1397.8650885937293,15,34,8,16,-3,-433,-8.83673469387755,4951,101.04081632653062,49,0,16,33,6,18,1,-199,-4.061224489795919,4636,94.61224489795919,49,0
732,2014-02-05 22:00:00,Toronto Raptors,101,Sacramento Kings,109,Wed,4,8,1,1461.4158925065008,1575.3461643918813,16,32,10,16,1,-105,-2.1875,4879,101.64583333333333,48,0,26,22,14,12,1,138,2.875,4764,99.25,48,0
733,2014-02-05 19:00:00,San Antonio Spurs,125,Washington Wizards,118,Wed,4,-7,0,1549.939852830073,1666.6897445809225,24,23,12,11,2,-5,-0.10638297872340426,4640,98.72340425531915,47,0,35,13,17,5,2,336,7.0,4979,103.72916666666667,48,0
734,2014-02-06 20:00:00,San Antonio Spurs,89,Brooklyn Nets,103,Thu,5,14,1,1516.809921249185,1671.8915063546021,21,25,13,11,1,-126,-2.739130434782609,4487,97.54347826086956,46,0,36,13,18,5,3,343,7.0,5104,104.16326530612245,49,0
735,2014-02-06 22:30:00,Chicago Bulls,87,Golden State Warriors,102,Thu,5,15,1,1614.756660538973,1494.4620999960673,29,20,14,9,-1,200,4.081632653061225,5045,102.95918367346938,49,0,24,24,11,14,1,-26,-0.5416666666666666,4427,92.22916666666667,48,0
736,2014-02-07 19:30:00,Sacramento Kings,89,Boston Celtics,99,Fri,6,10,1,1403.3287484791167,1474.5689813301174,17,33,10,15,2,-193,-3.86,4750,95.0,50,0,17,32,6,16,2,-97,-1.9795918367346939,4988,101.79591836734694,49,0
737,2014-02-07 20:30:00,Utah Jazz,81,Dallas Mavericks,103,Fri,6,22,1,1569.2246873139516,1444.5875286733014,29,21,17,8,3,99,1.98,5234,104.68,50,0,16,32,6,18,-3,-313,-6.520833333333333,4529,94.35416666666667,48,0
738,2014-02-07 19:30:00,Brooklyn Nets,95,Detroit Pistons,111,Fri,6,16,1,1392.2656461280649,1537.6442158771322,19,29,9,15,-2,-142,-2.9583333333333335,4795,99.89583333333333,48,0,22,25,8,14,2,-112,-2.382978723404255,4590,97.65957446808511,47,0
739,2014-02-07 19:00:00,Portland Trail Blazers,113,Indiana Pacers,118,Fri,6,5,1,1662.7280559409207,1591.1178125053202,38,10,23,2,3,391,8.145833333333334,4722,98.375,48,0,35,14,16,9,1,226,4.612244897959184,5276,107.6734693877551,49,0
740,2014-02-07 22:30:00,Toronto Raptors,105,Los Angeles Clippers,118,Fri,6,13,1,1632.8090687967986,1562.1930755682647,34,18,20,4,-2,287,5.519230769230769,5522,106.1923076923077,52,0,26,23,14,13,-1,130,2.6530612244897958,4865,99.28571428571429,49,0
